company_id,sector,cfo,cff,latest_net_profit
AXISBANK,Financials,-5555.0,22341.0,26386
BAJAJFINSV,Financials,-68674.0,82709.0,16520
BAJFINANCE,Financials,-72760.0,82415.0,15389
BANKBARODA,Financials,-6274.0,5476.0,20144
BHEL,Industrials,-3713.0,2656.0,445
CHOLAFIN,Financials,-35683.0,38471.0,3852
GRASIM,Industrials,-10719.0,33908.0,8693
M&M,Consumer Discretionary,-5630.0,12281.0,13009
PFC,Financials,-97820.0,101261.0,28248
PNB,Financials,-27939.0,3518.0,14535
RECLTD,Financials,-57723.0,59588.0,14885
SHRIRAMFIN,Financials,-31101.0,27609.0,9454
TVSMOTOR,Consumer Discretionary,-1253.0,2759.0,2094
